Designator,Mid X,Mid Y,Rotation,Layer
MX1,9.0,-9.0,180.0,top
MX2,28.05,-9.0,180.0,top
MX3,47.1,-9.0,0.0,top
MX4,66.15,-9.0,0.0,top
MX5,85.2,-9.0,0.0,top
MX6,104.25,-9.0,0.0,top
MX7,123.3,-9.0,0.0,top
MX9,161.4,-9.0,0.0,top
MX10,180.45,-9.0,0.0,top
MX11,199.5,-9.0,0.0,top
MX12,218.55,-9.0,0.0,top
MX13,237.6,-9.0,0.0,top
MX14,256.65,-9.0,180.0,top
MX16,266.175,-9.0,0.0,top
MX17,13.7625,-28.05,0.0,top
MX18,37.575,-28.05,0.0,top
MX19,56.625,-28.05,0.0,top
MX20,75.675,-28.05,0.0,top
MX21,94.725,-28.05,0.0,top
MX22,113.775,-28.05,0.0,top
MX23,132.825,-28.05,0.0,top
MX24,151.875,-28.05,0.0,top
MX25,170.925,-28.05,0.0,top
MX26,189.975,-28.05,0.0,top
MX27,209.025,-28.05,0.0,top
MX28,228.075,-28.05,0.0,top
MX29,247.125,-28.05,0.0,top
MX30,270.9375,-28.05,0.0,top
MX31,11.38125,-47.1,180.0,top
MX32,16.14375,-47.1,0.0,top
MX33,42.3375,-47.1,0.0,top
MX34,61.3875,-47.1,0.0,top
MX35,80.4375,-47.1,0.0,top
MX36,99.4875,-47.1,0.0,top
MX37,118.5375,-47.1,0.0,top
MX38,137.5875,-47.1,0.0,top
MX39,156.6375,-47.1,0.0,top
MX40,175.6875,-47.1,0.0,top
MX41,194.7375,-47.1,0.0,top
MX42,213.7875,-47.1,0.0,top
MX43,232.8375,-47.1,0.0,top
MX44,263.79375,-47.1,0.0,top
MX45,20.90625,-66.15,0.0,top
MX46,51.8625,-66.15,0.0,top
MX47,70.9125,-66.15,0.0,top
MX48,89.9625,-66.15,0.0,top
MX49,109.0125,-66.15,0.0,top
MX50,128.0625,-66.15,0.0,top
MX51,147.1125,-66.15,0.0,top
MX52,166.1625,-66.15,0.0,top
MX53,185.2125,-66.15,0.0,top
MX54,204.2625,-66.15,0.0,top
MX55,223.3125,-66.15,0.0,top
MX56,249.50625,-66.15,180.0,top
MX57,275.7,-66.15,0.0,top
MX60,35.19375,-85.2,0.0,top
MX61,59.00625,-85.2,0.0,top
MX63,201.88125,-85.2,0.0,top
MX64,225.69375,-85.2,0.0,top
MX65,249.50625,-85.2,0.0,top
MX66,273.31875,-85.2,0.0,top
MX71,223.3125,-85.2,180.0,top
MX8,142.35,-9.0,0.0,top
MX58,259.03125,-66.15,0.0,top
MX69,61.3875,-85.2,180.0,top
MX70,142.35,-85.2,0.0,top
MX72,247.125,-85.2,180.0,top
MX73,270.9375,-85.2,180.0,top
MX62,130.44375,-85.2,0.0,top
MX59,11.38125,-85.2,0.0,top
MX67,13.7625,-85.2,180.0,top
MX15,275.7,-9.0,180.0,top
S8,26.09,-85.190072,0.0,top
S2,259.89,-27.69205,0.0,top
J3,172.14,-90.1386,-90.0,top
,259.895,-85.190072,0.0,top
MX68,37.578,-85.2,180.0,top
S1,25.065,-28.040024,0.0,top
S7,142.34,-37.215,0.0,top
S3,128.052608,-46.89004,0.0,top
S6,189.96516,-84.99,0.0,top
JST,47.0,-17.5,-90.0,bottom
D1,16.22,-16.28,90.0,bottom
D2,37.83,-11.43,90.0,bottom
D3,40.17,-11.45,90.0,bottom
D4,57.92,-11.44,90.0,bottom
D5,76.89,-11.45,90.0,bottom
D6,95.86,-11.46,90.0,bottom
D7,115.01,-11.47,90.0,bottom
D8,134.06,-11.5,90.0,bottom
D9,153.14,-11.46,90.0,bottom
D10,172.23,-11.44,90.0,bottom
D11,191.14,-11.47,90.0,bottom
D12,210.15,-11.49,90.0,bottom
D14,247.49,-11.44,90.0,bottom
D15,245.5,-11.44,90.0,bottom
D16,5.66,-30.33,90.0,bottom
D17,29.35,-30.39,90.0,bottom
D18,48.41,-30.44,90.0,bottom
D19,67.44,-30.46,90.0,bottom
D20,86.41,-30.42,90.0,bottom
D21,105.31,-30.44,90.0,bottom
D22,124.31,-30.45,90.0,bottom
D23,143.36,-30.46,90.0,bottom
D24,162.45,-30.43,90.0,bottom
D25,181.53,-30.42,90.0,bottom
D26,200.61,-30.49,90.0,bottom
D27,219.62,-30.47,90.0,bottom
D28,238.6,-30.44,90.0,bottom
D29,262.72,-33.08,90.0,bottom
D30,23.15,-49.75,90.0,bottom
D31,34.07,-49.71,90.0,bottom
D32,52.95,-49.75,90.0,bottom
D33,71.98,-49.77,90.0,bottom
D35,110.03,-49.74,90.0,bottom
D36,128.89,-51.49,90.0,bottom
D37,148.08,-49.75,90.0,bottom
D38,167.08,-49.75,90.0,bottom
D39,186.14,-49.72,90.0,bottom
D40,205.23,-49.77,90.0,bottom
D41,224.05,-49.75,90.0,bottom
D42,255.45,-49.73,90.0,bottom
D43,13.2,-68.24,90.0,bottom
D44,43.55,-68.2,90.0,bottom
D45,62.78,-68.2,90.0,bottom
D46,81.66,-68.17,90.0,bottom
D47,100.85,-68.26,90.0,bottom
D48,119.82,-68.2,90.0,bottom
D49,139.06,-68.26,90.0,bottom
D50,158.02,-68.2,90.0,bottom
D51,177.13,-68.33,90.0,bottom
D52,195.85,-68.26,90.0,bottom
D53,215.13,-68.26,90.0,bottom
D54,240.13,-68.31,90.0,bottom
D55,237.64,-68.21,90.0,bottom
D56,24.54,-89.6,90.0,bottom
D57,26.88,-89.62,90.0,bottom
D58,51.0,-87.82,90.0,bottom
D59,121.84,-87.68,90.0,bottom
D61,213.7875,-85.99375,90.0,bottom
D62,237.55,-85.99375,90.0,bottom
D63,261.95,-78.77,90.0,bottom
D13,229.16,-11.46,90.0,bottom
D34,91.04,-49.74,90.0,bottom
D60,194.07,-88.45,90.0,bottom
1u_2,147.47,-88.035,-90.0,bottom
22u_2,115.13,-79.23,0.0,bottom
1K_2,153.87,-79.27,180.0,bottom
10K,156.99,-79.27,0.0,bottom
100n_9,160.11,-79.39,180.0,bottom
J2,18.17,-2.57,0.0,bottom
22r_2,151.93,-88.05,90.0,bottom
100n_8,158.8,-88.05,-90.0,bottom
1K,174.39,-87.95,-90.0,bottom
500ma,27.86,-21.8,-90.0,bottom
100n_7,173.855,-82.82,0.0,bottom
LED,175.92,-87.94,90.0,bottom
100n_6,160.31,-88.45,-90.0,bottom
5.1k_2,10.92,-5.09,90.0,bottom
U2,112.74,-84.11,0.0,bottom
SW1,136.54,-89.93,0.0,bottom
100n_5,173.23,-84.32,0.0,bottom
U1,24.36,-21.97,-90.0,bottom
SW2,183.27,-86.62,0.0,bottom
100n_4,148.96,-88.04,90.0,bottom
22u,115.17,-88.98,180.0,bottom
5.1k,25.1,-4.96,90.0,bottom
22p_2,179.93,-82.07,-90.0,bottom
22r,153.43,-88.045,90.0,bottom
100n_3,150.44,-88.045,-90.0,bottom
1u,157.3,-88.04,-90.0,bottom
22p,181.45,-82.08,-90.0,bottom
100n_2,168.78,-77.16,0.0,bottom
U3,155.87,-83.27,0.0,bottom
100n,155.8,-88.04,-90.0,bottom
Y1,177.27,-82.79,-90.0,bottom
1k,173.24,-81.31,0.0,bottom
U4,165.69,-82.99,-90.0,bottom
